,odd_size_score,is_odd_size_issue,odd_aspect_ratio_score,is_odd_aspect_ratio_issue,low_information_score,is_low_information_issue,light_score,is_light_issue,grayscale_score,is_grayscale_issue,dark_score,is_dark_issue,blurry_score,is_blurry_issue,exact_duplicates_score,is_exact_duplicates_issue,near_duplicates_score,is_near_duplicates_issue
C:/Users/jood1/Documents/stc-lora-dataset/000680.jpg,1.0,False,0.5625,False,0.7881877428929349,False,0.9452563908287183,False,1,False,0.9752020187204377,False,0.48625655668351253,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000691.jpg,1.0,False,0.5625,False,0.8666348339539183,False,0.9545822077216405,False,1,False,0.7551000504043969,False,0.4948423025341575,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000816.jpg,1.0,False,0.5625,False,0.36349683686855233,False,0.8029986816906816,False,1,False,1.0,False,1.0,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000831.jpg,1.0,False,0.5625,False,0.8295010713578489,False,0.9699678501117098,False,1,False,0.5927634643932493,False,0.42176400526343905,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000845.jpg,1.0,False,0.5625,False,0.9084783184983929,False,0.9005592725022846,False,1,False,0.837090179874665,False,0.5199274499372792,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000934.jpg,1.0,False,0.5625,False,0.8492879227864517,False,0.8267511961946279,False,1,False,0.8322524293223983,False,0.4585552704551248,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000936.jpg,1.0,False,0.5625,False,0.9158895461633958,False,0.9450314129761349,False,1,False,0.8828549944223403,False,0.5773297816577383,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000956.jpg,1.0,False,0.5625,False,0.7318387170078217,False,0.9520331076629229,False,1,False,1.0,False,0.6668947232808289,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000957.jpg,1.0,False,0.5625,False,0.8247808232507456,False,0.9018006014468446,False,1,False,1.0,False,0.4586491004451364,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000959.jpg,1.0,False,0.5625,False,0.8324674937414083,False,0.9612053979822812,False,1,False,1.0,False,0.45252119954337944,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000961.jpg,1.0,False,0.5625,False,0.8583543223042492,False,0.8022130902496604,False,1,False,0.9175366197997696,False,0.4816038890715926,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000962.jpg,1.0,False,0.5625,False,0.8987834499545606,False,0.7268227300119221,False,1,False,1.0,False,0.5148182737869923,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000967.jpg,1.0,False,0.5625,False,0.8952300621672888,False,0.6947272288244125,False,1,False,1.0,False,0.4994493741938273,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000969.jpg,1.0,False,0.5625,False,0.785232538755229,False,0.5015015703613779,False,1,False,1.0,False,0.4921655845471663,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000971.jpg,1.0,False,0.5625,False,0.8324300942040692,False,0.5516846691119457,False,1,False,0.9703968993422122,False,0.45048733451725986,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000975.jpg,1.0,False,0.5625,False,0.8381200637527857,False,0.819360612724428,False,1,False,1.0,False,0.4786823904539138,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000978.jpg,1.0,False,0.5625,False,0.8667465279787638,False,0.8117038905431094,False,1,False,1.0,False,0.4910371642408756,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000983.jpg,1.0,False,0.5625,False,0.6211109623971283,False,0.8058052836691312,False,1,False,1.0,False,1.0,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000991.jpg,1.0,False,0.5625,False,0.8932129402230571,False,0.9254746146322874,False,1,False,1.0,False,0.4821584507131583,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/000992.jpg,1.0,False,0.5625,False,0.8629597685853103,False,0.800181743476382,False,1,False,0.9470086699666093,False,0.4760674849843973,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001105.jpg,1.0,False,0.5625,False,0.8725935094862056,False,0.6411747777583867,False,1,False,1.0,False,0.501678653940991,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001113.jpg,1.0,False,0.5625,False,0.8389993478963128,False,0.9672792153196761,False,1,False,0.5943137966502955,False,0.44579218457145064,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001189.jpg,1.0,False,0.5625,False,0.908608726628052,False,0.9481727947116871,False,1,False,0.8776865802662966,False,0.5203449826478896,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001197.jpg,1.0,False,0.5625,False,0.8856281560546132,False,0.93329216957116,False,1,False,0.9694243923284419,False,0.514178095843107,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001207.jpg,1.0,False,0.5625,False,0.8514777885231581,False,0.9345443322206209,False,1,False,0.910238131679253,False,0.5004899302479955,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001239.jpg,1.0,False,0.5625,False,0.8969699677585155,False,0.9409286267011983,False,1,False,0.8740243090940611,False,0.5511394815256401,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001241.jpg,1.0,False,0.5625,False,0.83766473120952,False,0.9660724248772461,False,1,False,0.873979894324631,False,0.4706043503720767,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001242.jpg,1.0,False,0.5625,False,0.8695494858149921,False,0.9520331076629229,False,1,False,0.8075021172467223,False,0.5139424573302982,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001244.jpg,1.0,False,0.5625,False,0.8510332017008386,False,0.964977954984572,False,1,False,0.950861702720687,False,0.5241527260414327,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001265.jpg,1.0,False,0.5625,False,0.8320428948641174,False,1.0,False,1,False,0.8001831489699248,False,0.6785693480021774,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001273.jpg,1.0,False,0.5625,False,0.7017680669396938,False,0.8678422645051218,False,1,False,1.0,False,0.8272732726303798,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001293.jpg,1.0,False,0.5625,False,0.9122306521100194,False,0.8991083961634009,False,1,False,0.9119062334055519,False,0.560928737993996,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001301.jpg,1.0,False,0.5625,False,0.7947782124667411,False,0.9602019708794995,False,1,False,0.7248614127309317,False,0.4600567929452737,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001303.jpg,1.0,False,0.5625,False,0.7306269168138794,False,0.9694281089417777,False,1,False,0.7769208834932917,False,0.6265234999760809,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001324.jpg,1.0,False,0.5625,False,0.9099171116841615,False,0.9454521221979919,False,1,False,0.916818764774855,False,0.5265243371295678,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001354.jpg,1.0,False,0.5625,False,0.771771036048449,False,1.0,False,1,False,0.9925299151406259,False,0.8250271922869803,False,1.0,False,1.0,False
C:/Users/jood1/Documents/stc-lora-dataset/001355.jpg,1.0,False,0.5625,False,0.6473632137003694,False,1.0,False,1,False,0.46734656354520926,False,0.7059814404899428,False,1.0,False,1.0,False
